LON,LAT,NUMBER,STREET
-79.9704298,43.2682191,319,Macnab Street
-79.9469313,43.2686175,14,Spencer Avenue
-79.9691658,43.2703154,324,King Street West
-79.9469173,43.2681491,11,Spencer Avenue
-79.9020075,43.2617872,47,Bond Street South
-79.9717407,43.2632432,2,Thistle Lane
-79.9484118,43.2689382,101,York Road
-79.9472807,43.2601843,23,South Street West
-79.9639183,43.4198266,1575,Milburough Line
-79.8973629,43.2627956,121,Glen Road
-79.9074646,43.2642472,157,Haddon Avenue North
-79.9408612,43.2776927,36,Watsons Lane
-79.9570058,43.267871,91,Park Street West
-79.90058,43.2687523,17,Uplands Avenue
-79.9628772,43.263522,12,Central Park Avenue
-79.9346074,43.2636305,18,Shirley Street
-79.9460155,43.2768704,127,Cameron Avenue
-79.968299,43.2705309,315,King Street West
-79.9501676,43.2587304,25,Dundana Avenue
-79.9102312,43.2635813,111,Dromore Crescent
-79.9464036,43.2628076,3,South Quay
-79.9701641,43.2681502,315,Macnab Street
-79.9558515,43.2698193,67,Sydenham Street
-79.907709,43.2619756,12,Sterling Street
-79.9324738,43.2640048,9,Barrie Street
-79.9142057,43.26047,3,Whitton Road
-79.9087422,43.2648504,192,Dalewood Crescent
-79.9243841,43.2591476,27,Norfolk Street North
-79.9604213,43.4175347,1539,Milburough Line
-79.9086482,43.2651063,80,Oak Knoll Drive
-79.9059316,43.2607179,111,South Oval
-79.9116155,43.2626025,84,Dalewood Crescent
-79.9140109,43.261764,47,Whitton Road
-79.9082024,43.2615658,23,Sterling Street
-79.9298547,43.2595298,8,Daleview Court
-79.9104116,43.2928654,156,Parkview Avenue
-79.905725,43.2599071,57,Barclay Street
-79.9663198,43.2643468,9,Mercer Street
-79.9710261,43.2589217,9,Elizabeth Court
-79.9712914,43.265591,72,Mercer Street
-79.9637494,43.261872,205 B,Governor's Road
-79.947109,43.2618803,46,Osler Drive
-79.9526041,43.2667796,16,Park Street East
-79.9529028,43.2687248,45,Cross Street
-79.9663418,43.2650415,26,Cloverhill Avenue
-79.9682923,43.2688921,10,James Street
-79.896898,43.2692259,30,Franklin Avenue
-79.9241165,43.2610825,26,Thorndale Crescent
-79.9015041,43.2652772,22,Kipling Road
-79.8984365,43.2615158,89,Carling Street
-79.9189189,43.331985,125,Borers Creek Circle
-79.9296906,43.2482737,214,Ewen Road
-79.9249943,43.2527992,129,Whitney Avenue
-79.9678941,43.2600166,240,Governor's Road
-79.9072577,43.3390042,44,Hugill Way
-79.8978903,43.3285863,244,Dundas Street East
-79.9379935,43.335019,68,Concession 5 East
-79.9424635,43.247089,1967,Main Street West
-79.9113856,43.3211316,61,Hollybush Drive
-79.9313902,43.2578971,10,West Park Avenue
-79.9284163,43.2804646,33,Hopkins Court
-79.9018879,43.2994215,33,Maryvale Avenue
-79.9070873,43.3244701,19,McDonald Court
-79.9108969,43.2596572,23,Haddon Avenue South
-79.9169583,43.3109514,469,Highway No. 6
-79.9452036,43.2729646,70,Cameron Avenue
-79.9242587,43.2520123,123,Leland Street
-79.9022528,43.2657383,34,Parkside Drive
